NUM_POSTE;Nom;Latitude;Longitude;Altitude
7005;ABBEVILLE;50.136000;1.834000;69
7015;LILLE-LESQUIN;50.570000;3.097500;47
7020;PTE DE LA HAGUE;49.725167;-1.939833;6
7027;CAEN-CARPIQUET;49.180000;-0.456167;67
7037;ROUEN-BOOS;49.383000;1.181667;151
7072;REIMS-PRUNAY;49.209667;4.155333;95
7110;BREST-GUIPAVAS;48.444167;-4.412000;94
7117;PLOUMANAC H;48.825833;-3.473167;55
7130;RENNES-ST JACQUES;48.068833;-1.734000;36
7139;ALENCON;48.445500;0.110167;143
7149;ORLY;48.716833;2.384333;89
7168;TROYES-BARBEREY;48.324667;4.020000;112
7181;NANCY-OCHEY;48.581000;5.959833;336
7190;STRASBOURG-ENTZHEIM;48.549500;7.640333;150
7207;BELLE ILE-LE TALUT;47.294333;-3.218333;34
7222;NANTES-BOUGUENAIS;47.150000;-1.608833;26
7240;TOURS;47.444500;0.727333;108
7255;BOURGES;47.059167;2.359833;161
7280;DIJON-LONGVIC;47.267833;5.088333;219
7299;BALE-MULHOUSE;47.614333;7.510000;263
7314;PTE DE CHASSIRON;46.046833;-1.411500;11
7335;POITIERS-BIARD;46.593833;0.314333;123
7434;LIMOGES-BELLEGARDE;45.861167;1.175000;402
7460;CLERMONT-FD;45.786833;3.149333;331
7471;LE PUY-LOUDES;45.074500;3.764000;833
7481;LYON-ST EXUPERY;45.726500;5.077833;235
7510;BORDEAUX-MERIGNAC;44.830667;-0.691333;47
7535;GOURDON;44.745000;1.396667;260
7558;MILLAU;44.118500;3.019500;712
7577;MONTELIMAR;44.581167;4.733000;73
7591;EMBRUN;44.565667;6.502333;871
7607;MONT-DE-MARSAN;43.909833;-0.500167;59
7621;TARBES-OSSUN;43.188000;0.000000;360
7627;ST GIRONS;43.005333;1.106833;414
7630;TOULOUSE-BLAGNAC;43.621000;1.378833;151
7643;MONTPELLIER;43.577000;3.963167;2
7650;MARIGNANE;43.437667;5.216000;9
7661;CAP CEPET;43.079333;5.940833;115
7690;NICE;43.648833;7.209000;2
7747;PERPIGNAN;42.737167;2.872833;42
7761;AJACCIO;41.918000;8.792667;5
7790;BASTIA;42.540667;9.485167;10
61968;GLORIEUSES;-11.582667;47.289667;3
61970;JUAN DE NOVA;-17.054667;42.712000;9
61972;EUROPA;-22.344167;40.340667;6
61976;TROMELIN;-15.887667;54.520667;7
61980;GILLOT-AEROPORT;-20.892500;55.528667;8
61996;NOUVELLE AMSTERDAM;-37.795167;77.569167;27
61997;CROZET;-46.432500;51.856667;146
61998;KERGUELEN;-49.352333;70.243333;29
67005;PAMANDZI;-12.805500;45.282833;7
71805;ST-PIERRE;46.766333;-56.179167;21
78890;LA DESIRADE METEO;16.335000;-61.004000;27
78894;ST-BARTHELEMY METEO;17.901500;-62.852167;44
78897;LE RAIZET AERO;16.264000;-61.516333;11
78922;TRINITE-CARAVEL;14.774500;-60.875333;26
78925;LAMENTIN-AERO;14.595333;-60.995667;3
81401;SAINT LAURENT;5.485500;-54.031667;5
81405;CAYENNE-MATOURY;4.822333;-52.365333;4
81408;SAINT GEORGES;3.890667;-51.804667;6
81415;MARIPASOULA;3.640167;-54.028333;106
89642;DUMONT D URVILLE;-66.663167;140.001000;43
